run_date,data_date,qqq_close,sma200,STRAT1_pos,STRAT2_pos,alerted
2026-06-08,2026-06-08,719.84,621.63,TQQQ,TQQQ,True
2026-06-08,2026-06-08,719.45,621.63,TQQQ,TQQQ,False
2026-06-08,2026-06-08,719.16,621.63,TQQQ,TQQQ,True
2026-06-08,2026-06-08,718.98,621.63,TQQQ,TQQQ,True
2026-06-08,2026-06-08,716.07,621.61,TQQQ,TQQQ,False
2026-06-09,2026-06-09,711.49,622.36,TQQQ,TQQQ,True
2026-06-09,2026-06-09,707.83,622.35,TQQQ,TQQQ,False
2026-06-10,2026-06-10,693.69,622.97,TQQQ,TQQQ,False
2026-06-11,2026-06-11,717.12,623.71,TQQQ,TQQQ,False
